"n","dd","d","all","ratio","date","pv1","pv2","ratio_rm","all_rm","n_rm","d_rm"
1.0924,1.0897,1.0653,1.0775,1.2655,2017-08-25,0.00480129451577972,0.99519870548422,1.40103642857143,1.07542142857143,1.09582142857143,1.05937333333333
1.0766,1.0836,1.0627,1.0701,1.14,2017-08-26,0.00546194784353227,0.994538052156468,1.35848642857143,1.07493571428571,1.09353571428571,1.06018
NA,NA,1.0631,NA,NA,2017-08-27,0.00680878066881296,0.993191219331187,1.34632928571429,1.07536428571429,1.09342142857143,1.0609
1.1074,1.1096,1.0729,1.089,1.3155,2017-08-28,0.0121109257244243,0.987889074275576,1.36468785714286,1.08075714285714,1.10018571428571,1.06478666666667
1.1373,1.1336,1.0495,1.0883,2.0207,2017-08-29,0.00500329663406611,0.994996703365934,1.34442357142857,1.08687142857143,1.10599285714286,1.07084
1.1327,1.1209,1.0631,1.0941,1.6982,2017-08-30,0.00186975488905129,0.998130245110949,1.32218071428571,1.08648571428571,1.10382857142857,1.07122666666667
1.0893,1.0954,1.0678,1.0784,1.2065,2017-08-31,0.000964686790680023,0.99903531320932,1.30568785714286,1.08634285714286,1.10293571428571,1.07162666666667
1.0697,1.0629,1.0405,1.0535,1.3787,2017-09-01,0.000836096187171696,0.999163903812828,1.32843571428571,1.09043571428571,1.10857857142857,1.07378666666667
1.0835,1.0659,1.0557,1.0672,1.3013,2017-09-02,0.000316062081575066,0.999683937918425,1.30812857142857,1.09216428571429,1.10891428571429,1.07608
1.0663,1.0782,1.0548,1.0612,1.1259,2017-09-03,0.000270588087715716,0.999729411912284,1.31017857142857,1.09454285714286,1.11142142857143,1.07792
1.1464,1.1561,1.1134,1.1298,1.2196,2017-09-04,0.000300123802413104,0.999699876197587,1.31834666666667,1.09361333333333,1.11118666666667,1.078
1.1602,1.1311,1.135,1.1445,1.1467,2017-09-05,0.000754953506853735,0.999245046493146,1.31976666666667,1.09244666666667,1.10986666666667,1.07689333333333
1.1161,1.1303,1.0893,1.1034,1.2125,2017-09-06,0.000509471423608502,0.999490528576392,1.25639333333333,1.09095333333333,1.10538666666667,1.0778
1.087,1.1202,1.0577,1.0742,1.31,2017-09-07,0.000691001914972692,0.999308998085027,1.21584,1.09006666666667,1.10220666666667,1.07859333333333
1.1552,1.1558,1.116,1.1349,1.257,2017-09-08,0.000846971817537982,0.999153028182462,1.23506666666667,1.08995333333333,1.10316,1.07788666666667
1.0971,1.1366,1.0997,1.1017,0.9812,2017-09-09,0.00114956415291128,0.998850435847089,1.201736,1.09,1.10164,1.07908666666667
1.1117,1.1431,1.0903,1.1034,1.1687,2017-09-10,0.00337599063080448,0.996624009369196,1.16681666666667,1.08913333333333,1.09881333333333,1.0796
1.1079,1.0524,1.0643,1.0806,1.4327,2017-09-11,0.00429406154870317,0.995705938451297,1.15225133333333,1.08992666666667,1.09890666666667,1.08116666666667
1.0876,1.0913,1.0563,1.0715,1.3368,2017-09-12,0.00388565587345639,0.996114344126544,1.141658,1.08678,1.09467333333333,1.07868
1.0701,1.0631,1.0631,1.0659,1.0701,2017-09-13,0.00274721274832157,0.997252787251678,1.12029133333333,1.08092,1.08711333333333,1.07396666666667
1.085,1.0964,1.075,1.0808,1.0899,2017-09-14,0.0045208181009064,0.995479181899094,1.09469066666667,1.07908666666667,1.08360666666667,1.07362666666667
1.1036,1.0721,1.0572,1.0767,1.4949,2017-09-15,0.00549780064187657,0.994502199358123,1.10043733333333,1.07804,1.08264666666667,1.07255333333333
1.0469,1.0644,1.0585,1.0542,0.87874,2017-09-16,0.0069398515130233,0.993060148486977,1.086464,1.07426666666667,1.07766,1.06982666666667
1.0411,1.0636,1.0634,1.0542,0.77751,2017-09-17,0.0196624331194656,0.980337566880534,1.102704,1.07018666666667,1.07432666666667,1.06529333333333
1.1356,1.1069,1.0676,1.105,1.6523,2017-11-30,0.0360649480089883,0.963935051991012,1.26768466666667,1.13379333333333,1.14668,1.1157
1.1587,1.1805,1.1133,1.1422,1.3033,2017-12-01,0.017161114973503,0.982838885026497,1.21630466666667,1.13042,1.14025333333333,1.11653333333333
1.0966,1.0656,1.0812,1.0877,1.1305,2017-12-02,0.0406535365724331,0.959346463427567,1.24409533333333,1.12942,1.14174,1.11224
1.0825,1.0909,1.1108,1.0942,0.8079,2017-12-03,0.046246683491563,0.953753316508437,1.23944866666667,1.12541333333333,1.1371,1.10856
1.1475,1.1251,1.0645,1.1109,1.8205,2017-12-05,0.0321596282814178,0.967840371718582,1.26164666666667,1.11632666666667,1.12874666666667,1.09793333333333
1.1778,1.1426,1.1319,1.1561,1.2726,2017-12-06,0.0183370668166039,0.981662933183396,1.27758666666667,1.11315333333333,1.12648666666667,1.09317333333333
1.1408,1.1541,1.0735,1.1143,1.6109,2017-12-07,0.00841599963680416,0.991584000363196,1.214082,1.10773333333333,1.11766666666667,1.09202
1.1285,1.1205,1.1183,1.1237,1.066,2017-12-08,0.00873276808995111,0.991267231910049,1.16080266666667,1.10287333333333,1.11049333333333,1.09012
1.1738,1.1887,1.1382,1.1609,1.2032,2017-12-09,0.00913414244165248,0.990865857558348,1.14360933333333,1.09552,1.10216,1.08460666666667
1.1013,1.1392,1.0989,1.1037,1.0181,2017-12-10,0.0122015674989641,0.987798432501036,1.155876,1.09164666666667,1.09816,1.08046666666667
1.1006,1.143,1.0795,1.0961,1.1822,2017-12-11,0.0146719637487861,0.985328036251214,1.193976,1.08586666666667,1.09354,1.07304466666667
1.0936,1.115,1.0731,1.0871,1.1867,2017-12-12,0.00843664861482907,0.991563351385171,1.24678266666667,1.08276666666667,1.09166666666667,1.068578
1.0719,1.0891,1.0661,1.0711,1.0568,2017-12-13,0.00782858682504401,0.992171413174956,1.18046,1.07753333333333,1.08360666666667,1.06694466666667
1.0445,1.0887,1.0713,1.0588,0.75163,2017-12-14,0.0110177338297689,0.988982266170231,1.17566666666667,1.0711,1.07600666666667,1.06128466666667
1.028,1.0249,1.0391,1.0321,0.85311,2017-12-15,0.041989614396667,0.958010385603333,1.13831333333333,1.06666,1.06976,1.059258
1.0832,1.0629,1.0251,1.0577,1.9407,2017-12-19,0.021063137059741,0.978936862940259,1.11177933333333,1.04637333333333,1.0483,1.04217133333333
1.0266,1.0304,1.04,1.0324,0.82566,2017-12-20,0.0147599908430777,0.985240009156922,1.09534333333333,1.04338,1.04472666666667,1.04029133333333
1.0638,1.0911,1.047,1.0596,1.2007,2017-12-21,0.0227151681400816,0.977284831859918,1.06830666666667,1.04117333333333,1.04146,1.039538
1.0471,1.0732,1.0431,1.0477,1.0506,2017-12-22,0.0317644183509876,0.968235581649012,1.079694,1.03882666666667,1.03976,1.03636466666667
1.0658,1.0694,1.0505,1.06,1.1751,2017-12-23,0.0361999856471489,0.963800014352851,1.08547733333333,1.03869333333333,1.03972,1.035858
1.0327,1.0246,0.99353,1.0155,2.2976,2018-11-18,0.0493718203713718,0.950628179628628,1.34875076923077,1.03715,1.04214285714286,1.02382357142857
1.0118,NA,1.0296,NA,0.7309,2018-11-19,0.0251454188525202,0.97485458114748,1.33331333333333,1.03342727272727,1.03773076923077,1.02164846153846
1.0332,1.0316,1.0114,1.0238,1.4544,2018-11-20,0.0131352084084197,0.98686479159158,1.32803833333333,1.02970909090909,1.03426923076923,1.01911
1.0192,1.0138,1.0166,1.0176,1.0477,2018-11-21,0.00723532578692739,0.992764674213073,1.28314666666667,1.03,1.03374615384615,1.02037153846154
NA,1.0242,1.0037,NA,NA,2018-11-22,0.00557829605390917,0.994421703946091,1.27397818181818,1.02867,1.03204615384615,1.01956916666667
1.0205,1.0329,1.0473,1.0327,0.68126,2018-11-23,0.00884195829064885,0.991158041709351,1.21609090909091,1.03042,1.03181538461538,1.0233525
1.0634,1.0801,1.0363,1.0536,1.3714,2018-11-24,0.00641343908466168,0.993586560915338,1.1782,1.02946,1.03016923076923,1.02353583333333
1.0267,NA,NA,NA,NA,2018-11-25,0.00626725476176255,0.993732745238237,1.13178272727273,1.03054,1.03000769230769,1.02576916666667
NA,NA,NA,NA,NA,2018-11-26,0.00554086428251382,0.994459135717486,1.01224,1.03188,1.02963076923077,1.02871666666667
1.0317,1.0304,1.0207,1.0269,1.1913,2018-11-27,0.00550239532219041,0.99449760467781,1.04184909090909,1.03078181818182,1.03041538461538,1.027825
1.0405,1.0435,1.0285,1.036,1.1849,2018-11-28,0.00759078213746057,0.992409217862539,0.992887272727273,1.02993636363636,1.02881538461538,1.02828333333333
1.0335,1.0364,NA,NA,NA,2018-11-29,0.00650359407586543,0.993496405924135,0.978029090909091,1.03012727272727,1.02859230769231,1.02883333333333
1.0378,1.0465,1.0655,1.0496,0.72864,2018-11-30,0.00972518412567886,0.990274815874321,0.9399675,1.03009166666667,1.02735714285714,1.03313333333333
1.0224,1.0437,1.0221,1.0241,1.006,2018-12-01,0.00621957306629055,0.993780426933709,0.9838625,1.03099166666667,1.02907142857143,1.03174166666667
1.0167,1.0383,1.034,1.0256,0.75551,2018-12-02,0.00801085120164634,0.991989148798354,0.9658875,1.02783333333333,1.02591428571429,1.02968333333333
1.0278,1.0349,1.0289,1.0289,0.98263,2018-12-03,0.00645033632207888,0.993549663677921,0.974788461538462,1.02715384615385,1.02549285714286,1.02866923076923
1.022,1.0111,1.0189,1.0198,1.0566,2018-12-04,0.0142232275635082,0.985776772436492,0.957656428571429,1.02743571428571,1.02525333333333,1.02968571428571
1.0124,1.0158,1.0169,1.0145,0.91582,2018-12-05,0.011120302032371,0.988879697967629,0.955399285714286,1.02777857142857,1.02550666666667,1.03003571428571
1.0163,1.0235,1.0232,1.0197,0.88426,2018-12-06,0.0197887927801397,0.98021120721986,0.988356428571429,1.02635,1.02456666666667,1.02811428571429
1.0113,1.0256,1.0553,1.0297,0.52129,2018-12-07,0.0313747573403299,0.96862524265967,0.968244666666667,1.02734666666667,1.02422,1.0301
1.0445,1.0966,1.0306,1.0435,1.208,2018-12-08,0.0445016996604203,0.95549830033958,0.970082666666667,1.02589333333333,1.0229,1.02810666666667
1.0192,1.0143,1.0116,1.0157,1.1557,2018-12-09,0.0162378792596164,0.983762120740384,0.994462666666667,1.02864666666667,1.02659333333333,1.02975333333333
1.0208,1.0196,1.0165,1.019,1.0816,2018-12-10,0.0160934340850698,0.98390656591493,1.02522866666667,1.02886,1.02772666666667,1.0289
1.0219,1.0333,1.0429,1.0311,0.73494,2018-12-11,0.0193886803525134,0.980611319647487,0.994075333333333,1.02828666666667,1.02623333333333,1.02996666666667
1.0355,1.038,1.0256,1.0317,1.1597,2018-12-12,0.0327307861121854,0.967269213887815,0.974807333333333,1.02716666666667,1.024656,1.0293
1.0264,1.0239,1.0016,1.016,1.6463,2018-12-13,0.0165459437148247,0.983454056285175,0.9615,1.02738666666667,1.02446933333333,1.03003333333333
1.0283,1.0418,1.0579,1.0413,0.68668,2018-12-14,0.0195404468971607,0.980459553102839,0.963302666666667,1.02745333333333,1.02458266666667,1.03004
1.018,1.0502,1.0356,1.0278,0.75621,2018-12-15,0.0434712146697795,0.95652878533022,0.989765333333333,1.02675333333333,1.024976,1.02782
1.1027,1.0765,1.0544,1.078,1.5307,2019-10-23,0.0226865033826913,0.977313496617309,1.26027533333333,1.08255333333333,1.09408666666667,1.07025333333333
1.0884,1.109,1.0486,1.0715,1.4671,2019-10-24,0.0217565021387536,0.978243497861246,1.27153133333333,1.08284666666667,1.09485333333333,1.06962
1.1236,1.0712,1.0886,1.1033,1.2792,2019-10-25,0.0120091976998496,0.98799080230015,1.267498,1.08030666666667,1.09184,1.06754
1.1266,1.1233,1.1163,1.1217,1.0674,2019-10-26,0.00709415197277268,0.992905848027227,1.26735133333333,1.08056,1.09187333333333,1.06757333333333
1.078,1.1207,1.0769,1.081,1.0094,2019-10-27,0.00883124530096064,0.991168754699039,1.27223133333333,1.08245333333333,1.09414,1.06886666666667
1.1172,1.0829,1.0923,1.1031,1.1926,2019-10-28,0.00863588711929399,0.991364112880706,1.28574466666667,1.08348666666667,1.09563333333333,1.06905333333333
1.0604,1.0871,1.0646,1.0645,0.95857,2019-10-29,0.0174404063713166,0.982559593628683,1.271938,1.08408,1.09569333333333,1.06994
1.101,1.0972,1.0923,1.0968,1.068,2019-10-30,0.0259836308777269,0.974016369122273,1.22522466666667,1.08508666666667,1.09523333333333,1.0723
1.1085,1.1421,1.088,1.1022,1.1647,2019-10-31,0.0381920785833013,0.961807921416699,1.189518,1.08379333333333,1.09218,1.07249333333333
1.0772,1.0763,1.0579,1.0688,1.2042,2019-11-01,0.0325871775360799,0.96741282246392,1.15522333333333,1.08366666666667,1.09062666666667,1.07392666666667
1.0827,1.0923,1.0584,1.073,1.255,2019-11-02,0.0269692017282284,0.973030798271772,1.14015666666667,1.08296,1.08894,1.07412
1.1058,1.0818,1.0614,1.0844,1.4528,2019-11-03,0.00726746998343145,0.992732530016569,1.128068,1.08094,1.08611333333333,1.07301333333333
1.0826,1.0901,1.0604,1.0736,1.2294,2019-11-04,0.00368436585788889,0.996315634142111,1.129188,1.08204666666667,1.08751333333333,1.07425333333333
1.0746,1.087,1.0526,1.0661,1.2462,2019-11-05,0.00224122456412946,0.997758775435871,1.12395466666667,1.08256666666667,1.08736,1.07472666666667
1.0992,1.1103,1.0718,1.0883,1.2531,2019-11-06,0.000618960901604382,0.999381039098396,1.14436333333333,1.08838666666667,1.09446666666667,1.07871333333333
1.0569,1.0752,1.0573,1.0586,0.9951,2019-11-07,0.0007005194133415,0.999299480586659,1.14022333333333,1.08966666666667,1.09524,1.08000666666667
1.0651,1.0933,1.0701,1.0696,0.95268,2019-11-08,0.00128071117217123,0.998719288827829,1.14701,1.08918666666667,1.09531333333333,1.07939333333333
