"n","dd","d","all","ratio","date","pv1","pv2","ratio_rm","all_rm","n_rm","d_rm"
1.0198,1.0069,NA,1.0184,NA,2015-12-02,0.902604799992734,0.0973952000072662,0.963879444444444,1.02563473684211,1.020686,1.02689833333333
1.0144,1.0173,1.0104,1.013,1.0862,2015-12-03,0.922459304648512,0.0775406953514883,0.966241111111111,1.02355578947368,1.0190655,1.02415944444444
0.99931,0.98652,0.99387,0.99586,1.1784,2015-12-04,0.927138694163904,0.0728613058360956,0.977271666666667,1.02146105263158,1.0177155,1.02158722222222
1.0001,1.0031,1.0111,1.0047,0.76861,2015-12-05,0.906741142781627,0.0932588572183732,0.966851578947368,1.02129789473684,1.0176505,1.02176157894737
1.0071,1.0231,1.0211,1.0141,0.75737,2015-12-06,0.933497564933724,0.0665024350662756,0.989207894736842,1.02133473684211,1.0180955,1.02096157894737
1.0174,1.0059,1.0064,1.012,1.2553,2015-12-07,0.927507399156407,0.0724926008435932,0.973763684210526,1.02057684210526,1.017201,1.02089842105263
1.0092,1.0095,1.0092,1.0092,1.0005,2015-12-08,0.922399896228083,0.077600103771917,1.00132473684211,1.01845578947368,1.016126,1.01755631578947
1.0296,1.0228,1.0425,1.034,0.83728,2015-12-09,0.935087074959127,0.0649129250408734,1.03713947368421,1.01570842105263,1.014266,1.01388789473684
1.0556,1.0947,1.0078,1.0393,2.0774,2015-12-10,0.899183522881965,0.100816477118035,1.04439631578947,1.01459789473684,1.013516,1.01271947368421
0.99041,NA,1.0026,NA,0.68961,2015-12-11,0.692202172819109,0.307797827180891,1.04754157894737,1.01358263157895,1.012877,1.01137736842105
1.0286,1.0461,1.0084,1.0218,1.4471,2015-12-12,0.723263217313833,0.276736782686167,1.04216,1.01263,1.0118485,1.0108835
0.99649,1.0047,1.0083,1.0019,0.73769,2015-12-13,0.724763301532029,0.275236698467971,1.039225,1.01230368421053,1.0114985,1.0106735
1.0095,1.0152,1.0103,1.0104,0.98269,2015-12-14,0.650006652942078,0.349993347057922,1.03174,1.01316368421053,1.012178,1.01156
1.0113,1.0106,1.0249,1.0167,0.77929,2015-12-15,0.61641700442754,0.38358299557246,1.0335275,1.01264526315789,1.0116805,1.010838
1.0148,1.0259,1.0092,1.0137,1.1222,2015-12-16,0.572825263974694,0.427174736025306,1.050729,1.01258210526316,1.0120455,1.010268
0.99471,0.9974,1.0212,1.0051,0.54138,2015-12-17,0.607398008728219,0.392601991271781,1.0359515,1.01242421052632,1.0115805,1.010443
1.0328,1.0293,1.0167,1.0262,1.3016,2015-12-18,0.699711496609359,0.300288503390641,1.0571315,1.01151157894737,1.010901,1.0092835
1.0097,1.0079,1.0039,1.0063,1.1428,2016-08-17,0.999999981547197,1.84528032161534e-08,1.168490625,1.011323125,1.014881875,1.007256875
1.0065,1.0139,0.99337,1.0001,1.4392,2016-08-18,0.999999984936249,1.5063751401798e-08,1.222171875,1.012816875,1.017456875,1.007544375
NA,NA,NA,NA,NA,2016-08-19,0.999999992533841,7.46615910918588e-09,1.284834375,1.015135625,1.021706875,1.00838125
NA,NA,NA,NA,NA,2016-08-20,0.999999995505018,4.49498167908299e-09,1.3538625,1.016791875,1.025556875,1.00863125
NA,NA,NA,NA,NA,2016-08-21,0.999999994226097,5.77390271543953e-09,1.4554925,1.019835625,1.032008125,1.0095
NA,NA,NA,NA,NA,2016-08-22,0.999999995064106,4.93589428517769e-09,1.54033,1.024341875,1.039751875,1.01125625
1.0041,1.0051,0.99957,1.0018,1.1261,2016-08-23,0.999999987771605,1.22283951357203e-08,1.585495,1.027450625,1.04412125,1.01288375
1.0335,1.0443,1.0199,1.027,1.24,2016-08-24,0.999999994728655,5.27134470079669e-09,1.6569575,1.030319375,1.04924625,1.01384625
1.0499,1.0432,1.0256,1.036,1.3899,2016-08-25,0.999999994967749,5.03225052621072e-09,1.71292133333333,1.03242,1.05292,1.01470266666667
1.0418,1.0804,1.023,1.0348,1.3152,2016-08-26,0.999999995381221,4.61877870425967e-09,1.77675,1.03407142857143,1.05644285714286,1.01486
1.0554,1.0559,1.0143,1.0334,1.8062,2016-08-27,0.999999988389091,1.16109085719065e-08,1.82551538461538,1.03620769230769,1.06003846153846,1.01771714285714
1.0433,1.0676,1.0059,1.0255,1.8794,2016-08-28,0.999999899617791,1.00382209226296e-07,1.8772,1.04006923076923,1.06588461538462,1.019605
1.0856,1.0562,1.0081,1.0407,2.732,2016-08-29,0.999998781341242,1.21865875817388e-06,1.86248571428571,1.03957142857143,1.06483571428571,1.01936466666667
1.0696,1.0432,1.0159,1.0385,2.025,2016-08-30,0.999845745023546,0.000154254976453911,1.87923333333333,1.03852666666667,1.06383333333333,1.018416875
1.0986,1.0528,1.0206,1.0529,2.3644,2016-08-31,0.999343668090968,0.000656331909032003,1.8895625,1.03791875,1.06313125,1.01774529411765
1.131,1.1096,1.0328,1.0772,2.4142,2016-09-01,0.992780499330542,0.00721950066945828,1.88422352941176,1.03765294117647,1.06267647058824,1.017565
1.068,1.1129,1.026,1.0497,1.6715,2016-09-02,0.974704149280809,0.0252958507191909,1.91251764705882,1.03901764705882,1.06489411764706,1.01826666666667
1.0932,1.0812,1.0191,1.0531,2.3286,2016-09-03,0.951419417710579,0.0485805822894205,1.93603529411765,1.03890588235294,1.06547647058824,1.01783888888889
NA,NA,NA,NA,NA,2016-09-04,0.870992616323497,0.129007383676503,1.91348823529412,1.03725294117647,1.06305294117647,1.01688333333333
NA,NA,NA,NA,NA,2016-09-05,0.830434116239526,0.169565883760474,1.94250588235294,1.03678235294118,1.06336470588235,1.01614444444444
NA,NA,1.0439,NA,NA,2016-09-06,0.748415467065849,0.251584532934151,1.90997647058824,1.03614117647059,1.06171176470588,1.01615
1.0825,1.0884,1.0198,1.0503,2.1111,2016-09-07,0.62358608442155,0.37641391557845,1.88586470588235,1.03611764705882,1.06135882352941,1.01658333333333
1.0512,1.0487,1.016,1.0331,1.6712,2016-09-08,0.492779534022529,0.507220465977471,1.81981176470588,1.03458823529412,1.05805882352941,1.01638333333333
1.0498,1.0227,1.0042,1.0239,2.1137,2016-09-09,0.386290983002112,0.613709016997888,1.84626470588235,1.03388235294118,1.05733529411765,1.01557222222222
1.0526,1.0484,1.007,1.0288,2.0445,2016-09-10,0.191685207865456,0.808314792134544,1.78184705882353,1.03229411764706,1.05339411764706,1.01538333333333
1.0554,1.043,1.0145,1.0334,1.7988,2016-09-11,0.0742827529377733,0.925717247062227,1.72314117647059,1.02984705882353,1.04847647058824,1.01482222222222
1.0418,1.0236,1.0122,1.025,1.6071,2016-09-12,0.0332903003145276,0.966709699685472,1.67659117647059,1.02856470588235,1.04588823529412,1.01517222222222
1.0434,1.0193,1.0122,1.0251,1.6398,2016-09-13,0.0135357214170051,0.986464278582995,1.64881470588235,1.02762941176471,1.04388823529412,1.01494444444444
1.0087,1.0011,1.0084,1.0079,1.0066,2016-09-14,0.00854851525260364,0.991451484747396,1.64741388888889,1.02802777777778,1.04437777777778,1.01512631578947
